Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_34_segment_Lt Occipital Inf	1: RTSTRUCT: ANON_34_segment_Rt Parietal	1: RTSTRUCT: ANON_34_segment_Lt Para median	1: RTSTRUCT: ANON_34_segment_Lt Frontal Cavity	1: RTSTRUCT: ANON_34_segment_L superior parietal	1: RTSTRUCT: ANON_34_segment_L occipital1	1: RTSTRUCT: ANON_34_segment_L occipital2	1: RTSTRUCT: ANON_34_segment_L occipital3
square	gldm	GrayLevelVariance	3.3778102426751073	3.164930555555556	3.1390985629264048	4.918196269835064	2.9097222222222223	7.90249433106576	2.5802469135802464	2.29
square	gldm	HighGrayLevelEmphasis	22.864864864864863	30.291666666666668	34.7289156626506	72.96651814131127	12.416666666666666	33.38095238095238	14.444444444444445	11.9
square	gldm	LargeDependenceEmphasis	14.27927927927928	22.25	31.265060240963855	100.14971355824316	4.666666666666667	8.80952380952381	9.222222222222221	5.2
square	gldm	LargeDependenceHighGrayLevelEmphasis	302.8828828828829	659.7416666666667	1107.7289156626507	8566.802418841502	32.916666666666664	239.0952380952381	141.44444444444446	80.3
square	gldm	LargeDependenceLowGrayLevelEmphasis	1.9185590579241372	1.0246705994897958	2.0080569310499747	1.4359792637634863	2.484200680272109	1.7497001300429071	1.257530864197531	1.203138888888889
square	gldm	LowGrayLevelEmphasis	0.12685697318633826	0.06827993643445032	0.08424325229868834	0.020447367345604293	0.32332105064247924	0.18216737620062964	0.20728395061728397	0.29047222222222224
square	gldm	SmallDependenceEmphasis	0.15358225572511286	0.16279036575731204	0.11042769083453048	0.08087447557379566	0.4537037037037037	0.28584656084656085	0.1870216049382716	0.2833333333333333
square	gldm	SmallDependenceHighGrayLevelEmphasis	3.5134202569916853	4.70881063281539	3.99670389036654	4.854479387872155	8.402777777777777	11.051289682539684	1.8406018518518519	3.1333333333333337
square	gldm	SmallDependenceLowGrayLevelEmphasis	0.02094828589927796	0.018081286769638615	0.008341860953676818	0.0026207503962868963	0.07116698685647098	0.035533324652320744	0.054185528120713304	0.0756388888888889
square	ngtdm	Busyness	0.6149797514256715	0.466156162090556	0.4394307441990087	14.764918802851177	0.24093816631130063	0.17475624347451757	0.4841252864782277	0.2893317743764172
square	ngtdm	Coarseness	0.050304834879164984	0.0569019592490965	0.04703205442523852	0.0005786466740105585	0.37168141592920356	0.15249667572981096	0.18590229123272106	0.30859284113591556
square	ngtdm	Complexity	40.35308411261205	33.206943993691965	25.659859970412676	68.705546144635	15.07222978080121	69.29459452520574	15.095685142743967	13.643739417989417
square	ngtdm	Contrast	0.12346175513107623	0.10169229270109731	0.07210463878117654	0.06154163261539802	0.1986385765726043	0.2270957036714097	0.36882571958824684	0.3076778571428572
square	ngtdm	Strength	1.2801361319441973	1.2805661244478737	1.3363196873193721	0.03472470605945989	6.971517147839567	6.2336695549913035	2.340584586962259	3.2004253056884635
squareroot	firstorder	10Percentile	198.08675309017255	192.01857009057346	216.04204714824192	256.41014219923653	223.33261775564284	205.17468072527095	225.49504827511126	226.86396664439835
squareroot	firstorder	90Percentile	281.0412976580625	232.29430779669792	269.79063781507114	315.4566851978087	280.57270114039125	288.8891633975491	282.80242211776664	275.1674901053534
squareroot	firstorder	Energy	33019891.706335727	31536827.196545728	48972736.36016852	5433920425.006101	3727029.280627377	12862399.328478167	5546646.739069054	3056681.0860224403
squareroot	firstorder	Entropy	2.348352065490774	1.5605861326375066	1.990730475890565	1.817222767779018	1.7924812503605767	2.290080675020693	1.7527152789797034	1.3609640474436802
squareroot	firstorder	InterquartileRange	42.823861208165454	23.848105041823487	26.37301180275705	31.6597213677623	23.11394850162756	45.99828158712501	32.167283065698655	36.757004662863494
squareroot	firstorder	Kurtosis	3.151961562909763	3.093277412625024	8.721588999828242	4.223950061310004	2.3518068553170868	2.121200795785241	2.1282333085114464	1.4228266347513838
squareroot	firstorder	Maximum	298.7249659127623	245.76537246925895	284.1218584743711	326.59609740593123	297.22788132708047	300.0613916473687	286.0233368950194	277.95684718542816
squareroot	firstorder	MeanAbsoluteDeviation	26.42471148483653	13.620589135938644	20.01216082446535	17.90697477297022	17.292860011810756	25.600537184923354	18.362554017163284	17.352823339726207
squareroot	firstorder	Mean	244.4235431202095	212.36192112010426	242.3170467311704	287.6787895502866	256.87816353298706	252.56277601529914	254.67580275527266	252.53222663531523
squareroot	firstorder	Median	250.79907863448193	213.0967934029699	248.3071251007187	289.1721369486449	261.5153302436202	258.280205755987	248.43392669278336	252.05578184679337
squareroot	firstorder	Minimum	146.77210212729196	159.33915329656924	96.9490179737599	71.75880095003397	222.31398522035937	193.81470038479534	214.22205366836118	225.83020383336736
squareroot	firstorder	Range	151.95286378547033	86.42621917268971	187.1728405006112	254.83729645589727	74.9138961067211	106.24669126257334	71.8012832266582	52.126643352060796
squareroot	firstorder	RobustMeanAbsoluteDeviation	18.743649920201303	9.517069007489917	10.831778351506882	12.83629738319461	9.03506063391385	17.982599455143703	13.644737774495608	15.175198755650158
squareroot	firstorder	RootMeanSquared	545.4140645957715	512.6469480105658	543.1541991896967	588.1235155763696	557.3022280465194	553.3964248700961	555.1099360121307	552.8725970802352
squareroot	firstorder	Skewness	-0.8014458920716095	-0.4095102706110138	-2.155315340375644	-0.849163934552049	-0.10561198700630754	-0.3482110056056566	-0.18321657447630604	-0.052325257437783254
squareroot	firstorder	TotalEnergy	33019891.706335727	31536827.196545728	48972736.36016852	5433920425.006101	3727029.280627377	12862399.328478167	5546646.739069054	3056681.0860224403
squareroot	firstorder	Uniformity	0.2249005762519276	0.38097222222222227	0.326244737988097	0.3243228617352791	0.33333333333333337	0.23129251700680273	0.3333333333333333	0.42000000000000004
squareroot	firstorder	Variance	1079.5075553176596	292.15509066379957	908.7049221822571	522.9098866183863	472.4843657424178	921.9816212702764	481.794897185692	376.24713166468405
squareroot	glcm	Autocorrelation	29.16315931048662	9.086834260447318	54.89590372565932	101.8234265626385	9.049999999999999	15.840433717865846	8.303418803418804	3.0987179487179484
squareroot	glcm	JointAverage	5.36525538008175	3.0016565286257713	7.363924695632097	10.072962866393597	2.9555555555555557	3.886125026933851	2.8733974358974357	1.7564102564102564
squareroot	glcm	ClusterProminence	72.6969779521248	3.8925771962039226	111.4361131394313	20.015945852906157	3.427745061728396	57.836306018069536	10.941995387063745	0.6922159544159545
