Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_14_segment_1_LtTemporal_1	1: RTSTRUCT: ANON_14_segment_2_RtCerebellar_1	1: RTSTRUCT: ANON_14_segment_3_LtOccipital_1
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4	1.23.4	1.23.4
squareroot	glcm	ClusterTendency	2.384507581670541	0.18696969696969698	2.7068434482758446
squareroot	glcm	Contrast	1.0567510884338316	0.24545454545454548	1.2580831363079574
squareroot	glcm	Correlation	0.3776272594714523	0.2658008658008659	0.31071475359850503
squareroot	glcm	DifferenceAverage	0.6718799160971317	0.24545454545454548	0.7868015381103132
squareroot	glcm	DifferenceEntropy	1.454824320564176	0.5888014179137113	1.5372356636880555
squareroot	glcm	DifferenceVariance	0.6009051554920949	0.14333333333333334	0.6155371133952297
squareroot	glcm	JointEnergy	0.15925744863768723	0.6404545454545455	0.18367559197369537
squareroot	glcm	JointEntropy	3.2652500839032945	0.8932580087834663	2.92728280024428
squareroot	glcm	Imc1	-0.06497969986798081	-0.08128090310032063	-0.20598957308108906
squareroot	glcm	Imc2	0.42165715190738073	0.2613049157498256	0.6715189940659194
squareroot	glcm	Idm	0.6979339929737824	0.8772727272727273	0.6537273907646077
squareroot	glcm	Idmn	0.997152265274901	0.950909090909091	0.9560667223328797
squareroot	glcm	Id	0.710720327433217	0.8772727272727273	0.6799219104786436
squareroot	glcm	Idn	0.967251594064373	0.9181818181818183	0.8797142397840008
squareroot	glcm	InverseVariance	0.46838882514299784	0.24545454545454548	0.4237703116237004
squareroot	glcm	MaximumProbability	0.3053951588870222	0.7363636363636363	0.34617436624422854
squareroot	glcm	SumEntropy	2.3867712895949635	0.6478034633289211	2.1898896948982296
squareroot	glcm	SumSquares	0.8603146675260935	0.1081060606060606	0.9912316461459502
squareroot	glrlm	GrayLevelNonUniformity	1362.6397917756917	4.507575757575758	10.52752946394521
squareroot	glrlm	GrayLevelNonUniformityNormalized	0.28536021300811626	0.5445075757575758	0.2648725412221262
squareroot	glrlm	GrayLevelVariance	1.643441850538772	0.22774621212121213	1.3873304046211847
squareroot	glrlm	HighGrayLevelRunEmphasis	316.0357626240983	2.9431818181818183	15.450300695354743
squareroot	glrlm	LongRunEmphasis	4.752726766755401	1.7272727272727273	1.9158090396424312
squareroot	glrlm	LongRunHighGrayLevelEmphasis	1550.6702138132819	5.715909090909091	36.01098787009467
squareroot	glrlm	LongRunLowGrayLevelEmphasis	0.01498424644615194	0.7301136363636364	0.2076595250300173
squareroot	glrlm	LowGrayLevelRunEmphasis	0.003529945495787925	0.5142045454545454	0.14486954020270765
squareroot	glrlm	RunEntropy	3.613478441598699	1.5146001184746247	2.6606119077770876
squareroot	glrlm	RunLengthNonUniformity	2221.7812755540554	5.8813131313131315	26.02332894246263
squareroot	glrlm	RunLengthNonUniformityNormalized	0.4623697309081178	0.6984076879910214	0.6480036853573738
squareroot	glrlm	RunPercentage	0.5856767833197984	0.8272727272727274	0.7938461538461538
squareroot	glrlm	RunVariance	1.7761603951490748	0.20335297418630754	0.28701462720297183
squareroot	glrlm	ShortRunEmphasis	0.7056018240864526	0.8476430976430976	0.8278246662390221
squareroot	glrlm	ShortRunHighGrayLevelEmphasis	219.50249363219243	2.367845117845118	11.667526889218673
squareroot	glrlm	ShortRunLowGrayLevelEmphasis	0.0026261949273164065	0.4675925925925926	0.13167204699417098
squareroot	glszm	GrayLevelNonUniformity	62.11347517730496	1.6666666666666667	2.8181818181818183
squareroot	glszm	GrayLevelNonUniformityNormalized	0.22026055027413108	0.5555555555555556	0.256198347107438
squareroot	glszm	GrayLevelVariance	4.851478798853177	0.2222222222222222	1.2396694214876032
squareroot	glszm	HighGrayLevelZoneEmphasis	237.25177304964538	2.0	11.363636363636363
squareroot	glszm	LargeAreaEmphasis	80950.98581560283	18.0	50.0
squareroot	glszm	LargeAreaHighGrayLevelEmphasis	26681290.28723404	67.0	1120.8181818181818
squareroot	glszm	LargeAreaLowGrayLevelEmphasis	246.22394400291904	5.75	3.22989898989899
squareroot	glszm	LowGrayLevelZoneEmphasis	0.00937992672746446	0.75	0.193030303030303
squareroot	glszm	SizeZoneNonUniformity	82.90070921985816	1.0	2.6363636363636362
squareroot	glszm	SizeZoneNonUniformityNormalized	0.2939741461697098	0.3333333333333333	0.2396694214876033
squareroot	glszm	SmallAreaEmphasis	0.5570888810250091	0.42346938775510207	0.3368728097299526
squareroot	glszm	SmallAreaHighGrayLevelEmphasis	127.62617841520614	0.4438775510204082	3.1441434755720468
squareroot	glszm	SmallAreaLowGrayLevelEmphasis	0.00752867842510329	0.4183673469387755	0.056913408461027507
squareroot	glszm	ZoneEntropy	4.823869890593698	1.5849625007211552	3.277613436819112
squareroot	glszm	ZonePercentage	0.03461821753007611	0.3	0.22
squareroot	glszm	ZoneVariance	80116.55449927066	6.888888888888888	29.338842975206607
squareroot	gldm	DependenceEntropy	5.7857028136619855	2.1219280948873607	4.265979129983096
squareroot	gldm	DependenceNonUniformity	390.36164988951634	2.6	6.24
squareroot	gldm	DependenceNonUniformityNormalized	0.04792065429530031	0.26	0.1248
squareroot	gldm	DependenceVariance	32.114661961312606	4.5600000000000005	22.4704
squareroot	gldm	GrayLevelNonUniformity	2902.6044684507733	5.8	14.72
squareroot	gldm	GrayLevelVariance	1.1596060485629045	0.20999999999999996	1.3764000000000003
squareroot	gldm	HighGrayLevelEmphasis	321.2866437515345	3.1	16.9
squareroot	gldm	LargeDependenceEmphasis	170.70414927571815	27.6	62.92
squareroot	gldm	LargeDependenceHighGrayLevelEmphasis	56202.89651362632	107.7	1504.18
squareroot	gldm	LargeDependenceLowGrayLevelEmphasis	0.5204405083140242	7.575	3.2498666666666667
squareroot	gldm	LowGrayLevelEmphasis	0.0033329373000505103	0.475	0.1293
squareroot	gldm	SmallDependenceEmphasis	0.04079327778995873	0.16919274376417234	0.13211600980689187
squareroot	gldm	SmallDependenceHighGrayLevelEmphasis	10.686126118386497	0.22677097505668936	1.416416911838963
squareroot	gldm	SmallDependenceLowGrayLevelEmphasis	0.0003368862329437336	0.15479818594104305	0.021957330207090488
squareroot	ngtdm	Busyness	2.3636738290404633	0.6772727272727274	0.4334396412240306
squareroot	ngtdm	Coarseness	0.0008818766843170532	0.6711409395973155	0.11353968060286504
squareroot	ngtdm	Complexity	122.03436792989157	0.298	6.763880879857531
squareroot	ngtdm	Contrast	0.0053479084626676995	0.0727	0.09295911310362495
squareroot	ngtdm	Strength	0.6062298638608024	0.577716643741403	1.2615146173917946
logarithm	firstorder	10Percentile	325.51479312650326	285.76831288982106	281.9503735320518
logarithm	firstorder	90Percentile	343.75433107715	300.8666615348937	316.3734473865658
logarithm	firstorder	Energy	3302111139.661152	3529324.8941069804	18175848.924360614
logarithm	firstorder	Entropy	0.5311905095043425	0.881290899230692	1.0978693276969005
logarithm	firstorder	InterquartileRange	8.840406251810407	11.042528393343275	15.629498189837989
logarithm	firstorder	Kurtosis	584.5684512441723	1.8807022600780012	3.9354014490067133
logarithm	firstorder	Maximum	350.5960769011731	301.53705911579897	319.1110989784418
logarithm	firstorder	MeanAbsoluteDeviation	7.156393136259075	5.81140462642208	10.391905710647213
logarithm	firstorder	Mean	336.4981621299287	294.04502457461206	302.7779093390405
logarithm	firstorder	Median	340.36277098500136	295.13530001916683	307.80785156838124
logarithm	firstorder	Minimum	-208.02385522173046	281.8767117605959	263.40387495949267
logarithm	firstorder	Range	558.6199321229035	19.660347355203044	55.70722401894915
logarithm	firstorder	RobustMeanAbsoluteDeviation	3.917631622920759	4.80671236362722	6.8662392908588
logarithm	firstorder	RootMeanSquared	636.6835663196835	594.0812144906604	602.9236920931307
logarithm	firstorder	Skewness	-18.722958129578075	-0.47819621323186445	-1.231870710582974
logarithm	firstorder	TotalEnergy	3302111139.661152	3529324.8941069804	18175848.924360614
logarithm	firstorder	Uniformity	0.8250875306650439	0.58	0.5511999999999999
logarithm	firstorder	Variance	236.05322677364643	42.99818884663417	175.7705000676968
logarithm	glcm	Autocorrelation	525.4404816824842	1.7969696969696969	7.741366875608717
logarithm	glcm	JointAverage	22.92104351237901	1.3492424242424244	2.767403157343659
logarithm	glcm	ClusterProminence	212.97223722840133	0.28818768939393946	2.584569700255386
logarithm	glcm	ClusterShade	-7.839969512649459	0.08854461279461288	-0.893474135549537
logarithm	glcm	ClusterTendency	0.5173938715861357	0.296439393939394	0.5986505228427959
logarithm	glcm	Contrast	0.25265700543668984	0.5015151515151515	0.2805352816869116
logarithm	glcm	Correlation	0.31328685278800605	-0.1238095238095236	0.29150478838959953
logarithm	glcm	DifferenceAverage	0.11259715248022834	0.5015151515151515	0.2805352816869116
logarithm	glcm	DifferenceEntropy	0.5059065557816351	0.328983671547525	0.8392888683121066
logarithm	glcm	DifferenceVariance	0.23989228855209604	0.07926767676767676	0.19727426089349656
logarithm	glcm	JointEnergy	0.79374633039015	0.5217550505050504	0.48142239300309364
logarithm	glcm	JointEntropy	0.7494189915235012	1.0675004330258904	1.492065375020673
logarithm	glcm	Imc1	-0.10249047484423959	-0.5938965920518833	-0.18675844449919776
logarithm	glcm	Imc2	0.2678618327171	0.6599811278079835	0.4922882432472366
logarithm	glcm	Idm	0.9491002905775331	0.7492424242424243	0.8597323591565442
logarithm	glcm	Idmn	0.9996391346047118	0.8996969696969699	0.9719464718313087
logarithm	glcm	Id	0.950133465784855	0.7492424242424243	0.8597323591565442
logarithm	glcm	Idn	0.9956429057267218	0.8328282828282828	0.9298661795782721
logarithm	glcm	InverseVariance	0.09038350987273848	0.5015151515151515	0.2805352816869116
logarithm	glcm	MaximumProbability	0.888797820253403	0.5818181818181819	0.6633642724864603
logarithm	glcm	SumEntropy	0.6334980529861554	0.5659852815107392	1.2115300933337616
logarithm	glcm	SumSquares	0.19251271925570637	0.19948863636363637	0.21979645113242693
logarithm	glrlm	GrayLevelNonUniformity	673.8622217220941	4.9305194805194805	15.152502994453455
logarithm	glrlm	GrayLevelNonUniformityNormalized	0.44913855449114737	0.5707253659039373	0.460122631736535
logarithm	glrlm	GrayLevelVariance	1.5887331343461797	0.21463731704803138	0.41829808503967886
logarithm	glrlm	HighGrayLevelRunEmphasis	503.72332505866785	1.9490259740259739	6.657229208656353
logarithm	glrlm	LongRunEmphasis	63.98145047986315	1.5854978354978355	3.123283062496086
logarithm	glrlm	LongRunHighGrayLevelEmphasis	33805.61306847221	2.8705627705627705	24.887793416218468
logarithm	glrlm	LongRunLowGrayLevelEmphasis	0.12266535266543782	1.2642316017316018	0.5105503848249945
logarithm	glrlm	LowGrayLevelRunEmphasis	0.0033539602065121537	0.7627435064935064	0.23294336878078012
logarithm	glrlm	RunEntropy	3.9176460350216944	1.3146060669360866	2.3078253758912837
logarithm	glrlm	RunLengthNonUniformity	321.73436194409476	6.900072150072151	16.302930651796125
logarithm	glrlm	RunLengthNonUniformityNormalized	0.21456526455383612	0.7745403295998533	0.48358981040492044
logarithm	glrlm	RunPercentage	0.18340289712742452	0.8636363636363636	0.6553846153846153
logarithm	glrlm	RunVariance	32.47849596414255	0.17038869419821803	0.6158503916990882
logarithm	glrlm	ShortRunEmphasis	0.4688916918841971	0.8806818181818182	0.6983798367204522
logarithm	glrlm	ShortRunHighGrayLevelEmphasis	224.80059972108484	1.7456980519480518	4.145299560772072
logarithm	glrlm	ShortRunLowGrayLevelEmphasis	0.0022935409435868507	0.6644277597402597	0.1894831821717241
logarithm	glszm	GrayLevelNonUniformity	49.08064516129032	1.0	2.2
logarithm	glszm	GrayLevelNonUniformityNormalized	0.3958116545265349	0.5	0.44
logarithm	glszm	GrayLevelVariance	9.369927159209157	0.25	0.4
logarithm	glszm	HighGrayLevelZoneEmphasis	449.01612903225805	2.5	4.4
logarithm	glszm	LargeAreaEmphasis	438620.5967741936	29.0	259.2
logarithm	glszm	LargeAreaHighGrayLevelEmphasis	231998590.33064517	42.5	2256.4
logarithm	glszm	LargeAreaLowGrayLevelEmphasis	829.3073846506081	25.625	32.12222222222222
logarithm	glszm	LowGrayLevelZoneEmphasis	0.011051202860407894	0.625	0.37222222222222223
logarithm	glszm	SizeZoneNonUniformity	35.08064516129032	1.0	1.0
logarithm	glszm	SizeZoneNonUniformityNormalized	0.28290842872008326	0.5	0.2
logarithm	glszm	SmallAreaEmphasis	0.5433847468081788	0.06575963718820861	0.23594104308390024
logarithm	glszm	SmallAreaHighGrayLevelEmphasis	237.46047502854805	0.23242630385487528	0.8779138321995463
logarithm	glszm	SmallAreaLowGrayLevelEmphasis	0.004038497864104448	0.024092970521541947	0.07562925170068027
logarithm	glszm	ZoneEntropy	4.229696020761139	0.9999999999999993	2.321928094887361
logarithm	glszm	ZonePercentage	0.015222194942302971	0.2	0.1
logarithm	glszm	ZoneVariance	434304.95447450574	4.0	159.2
logarithm	gldm	DependenceEntropy	3.340627973078524	2.246439344671014	4.151272380112904
logarithm	gldm	DependenceNonUniformity	1985.8615271298797	3.4	3.64
logarithm	gldm	DependenceNonUniformityNormalized	0.2437836394708912	0.34	0.0728
logarithm	gldm	DependenceVariance	49.86635704192737	1.6	33.918400000000005
logarithm	gldm	GrayLevelNonUniformity	6721.163024797446	5.8	27.56
logarithm	gldm	GrayLevelVariance	0.35703904901759437	0.21000000000000002	0.35039999999999993
logarithm	gldm	HighGrayLevelEmphasis	523.7757181438743	1.9	7.32
logarithm	gldm	LargeDependenceEmphasis	544.1070464031426	17.6	133.12
logarithm	gldm	LargeDependenceHighGrayLevelEmphasis	287707.2684753253	25.7	1175.56
logarithm	gldm	LargeDependenceLowGrayLevelEmphasis	1.0300414392009756	15.575	15.776666666666667
logarithm	gldm	LowGrayLevelEmphasis	0.0021680561050299784	0.775	0.19777777777777777
logarithm	gldm	SmallDependenceEmphasis	0.016336535238039726	0.07809637188208617	0.052261059469170895
logarithm	gldm	SmallDependenceHighGrayLevelEmphasis	7.529389685098819	0.17809637188208616	0.22132175744476024
logarithm	gldm	SmallDependenceLowGrayLevelEmphasis	0.00010872236248949185	0.05309637188208617	0.017168667101512814
logarithm	ngtdm	Busyness	0.8474216818486779	10.946428571428573	0.720924079918628
logarithm	ngtdm	Coarseness	0.002391788215531526	0.45676998368678634	0.1699888005151326
logarithm	ngtdm	Complexity	21.617887792677074	0.43785714285714283	0.9323431254775123
logarithm	ngtdm	Contrast	0.0007242097282833676	0.08945	0.03554673604661592
logarithm	ngtdm	Strength	2.4535033065740732	0.4695360536612633	0.5625315352097888
gradient	firstorder	10Percentile	5.193905353546143	40.447310256958005	30.027786254882812
gradient	firstorder	90Percentile	96.41657638549805	67.58341445922852	71.8722770690918
gradient	firstorder	Energy	945297967.9797217	1250674.7482974012	6231089.706820372
gradient	firstorder	Entropy	2.0599705014603353	0.970950594454668	1.4111294625574622
gradient	firstorder	InterquartileRange	40.925867319107056	14.361674308776855	21.707037925720215
gradient	firstorder	Kurtosis	4.483248039139006	1.800677351410911	2.6147666467524795
gradient	firstorder	Maximum	208.89834594726562	69.87909698486328	81.39276885986328
gradient	firstorder	MeanAbsoluteDeviation	28.145214778870656	8.745418701171875	13.314809719085693
gradient	firstorder	Mean	38.72925426915248	53.50623397827148	52.646059894561766
gradient	firstorder	Median	26.018600463867188	51.38777160644531	55.740867614746094
gradient	firstorder	Minimum	0.1926586627960205	39.67980194091797	13.127290725708008
gradient	firstorder	Range	208.7056872844696	30.199295043945312	68.26547813415527
gradient	firstorder	RobustMeanAbsoluteDeviation	18.462728485011578	7.077285528182983	9.75287037372589
gradient	firstorder	RootMeanSquared	340.65295398346814	353.6488015386736	353.0181215411008
gradient	firstorder	Skewness	1.400112501192903	0.2409748974951044	-0.524576275955658
gradient	firstorder	TotalEnergy	945297967.9797217	1250674.7482974012	6231089.706820372
gradient	firstorder	Uniformity	0.3153805979735528	0.52	0.444
gradient	firstorder	Variance	1306.9273599267112	100.8173682397255	262.55057724859756
gradient	glcm	Autocorrelation	4.319600725005161	2.189393939393939	6.614688459037845
gradient	glcm	JointAverage	1.878070516040137	1.4840909090909091	2.570898712063438
gradient	glcm	ClusterProminence	133.085811433221	0.1107230429292929	2.3800837654796725
gradient	glcm	ClusterShade	17.17086719583471	-0.0679974747474747	-0.2598699774804647
gradient	glcm	ClusterTendency	4.743023711483222	0.15856060606060607	0.8622048056889258
gradient	glcm	Contrast	1.5784416845062559	0.5257575757575756	0.8494672176889223
gradient	glcm	Correlation	0.495471142197468	-0.20995670995670956	0.005473542402713216
gradient	glcm	DifferenceAverage	0.7352582750982284	0.5257575757575756	0.6612861964156536
gradient	glcm	DifferenceEntropy	1.6747703674045396	0.48073579286454166	1.2642491663176754
gradient	glcm	DifferenceVariance	1.0333923529869233	0.11492424242424244	0.38996775561321073
gradient	glcm	JointEnergy	0.18170292087259016	0.5429166666666666	0.21243013422507034
gradient	glcm	JointEntropy	3.495840176726345	1.0654954140373267	2.5906027839693997
gradient	glcm	Imc1	-0.11478968982066759	-0.37778885572056464	-0.1299546199408862
gradient	glcm	Imc2	0.5772091072036323	0.5240326076293998	0.5304158373063627
gradient	glcm	Idm	0.7087468749161062	0.7371212121212121	0.6881750039195
gradient	glcm	Idmn	0.982629830602088	0.8948484848484849	0.9538089985282755
gradient	glcm	Id	0.7299288461890221	0.7371212121212121	0.6989227464748418
gradient	glcm	Idn	0.9332094939674627	0.8247474747474748	0.8738100146987924
gradient	glcm	InverseVariance	0.3480834189937475	0.5257575757575756	0.5136056920620411
gradient	glcm	MaximumProbability	0.37477040969994285	0.6037878787878788	0.32268873229828837
gradient	glcm	SumEntropy	2.5906908810142664	0.5397378382797513	1.8038968642800979
gradient	glcm	SumSquares	1.5803663489973696	0.17107954545454546	0.42791800584446194
gradient	glrlm	GrayLevelNonUniformity	905.1994769021104	4.65050505050505	16.508665662355213
gradient	glrlm	GrayLevelNonUniformityNormalized	0.2118668730580229	0.5262177328843995	0.4153397641673133
gradient	glrlm	GrayLevelVariance	2.4795998674658835	0.23689113355780023	0.4910991636041443
gradient	glrlm	HighGrayLevelRunEmphasis	9.653678680323834	2.778787878787879	7.06960694677616
gradient	glrlm	LongRunEmphasis	7.717338926275135	1.5	2.0001372770845762
gradient	glrlm	LongRunHighGrayLevelEmphasis	23.165988756542387	4.278787878787879	14.80726115635728
gradient	glrlm	LongRunLowGrayLevelEmphasis	6.2190242047536985	0.8053030303030304	0.3731176844380102
gradient	glrlm	LowGrayLevelRunEmphasis	0.37470595350611685	0.5553030303030303	0.22150641680125946
gradient	glrlm	RunEntropy	3.979753610140779	1.314018723276391	2.2659376608306085
gradient	glrlm	RunLengthNonUniformity	2034.3773745775327	7.1313131313131315	26.89076493708072
gradient	glrlm	RunLengthNonUniformityNormalized	0.47500587565193597	0.7864758698092031	0.6672620302055182
gradient	glrlm	RunPercentage	0.5242969650040605	0.881818181818182	0.7923076923076924
gradient	glrlm	RunVariance	4.042393027551003	0.12948933782267116	0.3461218875192999
gradient	glrlm	ShortRunEmphasis	0.7163127353478937	0.8918350168350169	0.8353134536374505
gradient	glrlm	ShortRunHighGrayLevelEmphasis	8.423918184637033	2.4711279461279463	5.823841158748641
gradient	glrlm	ShortRunLowGrayLevelEmphasis	0.20106452016151824	0.49701178451178457	0.195294524432182
gradient	glszm	GrayLevelNonUniformity	43.8	1.6666666666666667	1.6666666666666667
gradient	glszm	GrayLevelNonUniformityNormalized	0.1825	0.5555555555555556	0.2777777777777778
gradient	glszm	GrayLevelVariance	2.519722222222222	0.2222222222222222	1.1388888888888888
gradient	glszm	HighGrayLevelZoneEmphasis	23.833333333333332	3.0	5.833333333333333
gradient	glszm	LargeAreaEmphasis	83129.95	14.0	179.33333333333334
gradient	glszm	LargeAreaHighGrayLevelEmphasis	152192.43333333332	40.0	1423.6666666666667
gradient	glszm	LargeAreaLowGrayLevelEmphasis	68499.31679267973	7.5	25.865740740740744
gradient	glszm	LowGrayLevelZoneEmphasis	0.0719047986478542	0.5	0.44560185185185186
gradient	glszm	SizeZoneNonUniformity	54.84166666666667	1.0	1.6666666666666667
gradient	glszm	SizeZoneNonUniformityNormalized	0.22850694444444444	0.3333333333333333	0.2777777777777778
gradient	glszm	SmallAreaEmphasis	0.49005433581593677	0.3675	0.4176055841810895
gradient	glszm	SmallAreaHighGrayLevelEmphasis	11.212033799328216	1.4075	1.546413220592769
gradient	glszm	SmallAreaLowGrayLevelEmphasis	0.036689133756870884	0.1075	0.2528113714933721
gradient	glszm	ZoneEntropy	5.341571106029003	1.5849625007211552	2.5849625007211543
gradient	glszm	ZonePercentage	0.029462312791554136	0.3	0.12
gradient	glszm	ZoneVariance	81977.91326388888	2.888888888888889	109.88888888888889
gradient	gldm	DependenceEntropy	5.981790572483037	2.5219280948873606	4.2088840705376285
gradient	gldm	DependenceNonUniformity	335.1757917996563	3.0	5.36
gradient	gldm	DependenceNonUniformityNormalized	0.041146058408992915	0.3	0.1072
gradient	gldm	DependenceVariance	63.659607570625674	1.24	8.84
gradient	gldm	GrayLevelNonUniformity	2569.090351092561	5.2	22.2
gradient	gldm	GrayLevelVariance	2.0509816280091857	0.24	0.44
gradient	gldm	HighGrayLevelEmphasis	6.415418610360914	2.8	7.2
gradient	gldm	LargeDependenceEmphasis	242.3704885833538	14.2	49.8
gradient	gldm	LargeDependenceHighGrayLevelEmphasis	455.65971028725755	41.8	389.28
gradient	gldm	LargeDependenceLowGrayLevelEmphasis	208.7330425850674	7.3	7.3133333333333335
gradient	gldm	LowGrayLevelEmphasis	0.563132592330928	0.55	0.20694444444444443
gradient	gldm	SmallDependenceEmphasis	0.039642815342417856	0.16633333333333333	0.09044083402814675
gradient	gldm	SmallDependenceHighGrayLevelEmphasis	0.7189980792936427	0.5611666666666667	0.4605979862230861
gradient	gldm	SmallDependenceLowGrayLevelEmphasis	0.0061254978668807344	0.067625	0.041323134892856134
gradient	ngtdm	Busyness	73.3226642006502	1.6723214285714287	0.9147120801486295
gradient	ngtdm	Coarseness	0.0008292626938777008	0.37373198077949815	0.09902537870737364
gradient	ngtdm	Complexity	27.821100645033855	0.5351428571428571	3.1178105828169023
gradient	ngtdm	Contrast	0.03567725960539933	0.1244	0.03924051434518926
gradient	ngtdm	Strength	0.060658719619316875	0.3858520900321543	0.5083181757303354
log-sigma-1-0-mm-3D	firstorder	10Percentile	-49.47613716125488	-68.80350646972656	-65.42077178955078
log-sigma-1-0-mm-3D	firstorder	90Percentile	8.722808361053467	-25.742854309082034	2.8354804992675855
log-sigma-1-0-mm-3D	firstorder	Energy	656022188.2101824	642554.0907374867	3618277.9943781495
log-sigma-1-0-mm-3D	firstorder	Entropy	1.981373752254572	1.3609640474436802	2.221085493518065
log-sigma-1-0-mm-3D	firstorder	InterquartileRange	31.891030251979828	37.125179290771484	38.41910910606384
log-sigma-1-0-mm-3D	firstorder	Kurtosis	3.437861435449927	1.3214868205323909	3.346095124452801
log-sigma-1-0-mm-3D	firstorder	Maximum	99.46146392822266	-22.18042755126953	48.7105827331543
log-sigma-1-0-mm-3D	firstorder	MeanAbsoluteDeviation	19.069034399270397	17.477053451538087	23.08016825485229
log-sigma-1-0-mm-3D	firstorder	Mean	-17.20764203591141	-47.198006057739256	-32.598412618637084
log-sigma-1-0-mm-3D	firstorder	Median	-11.787086486816406	-45.68844032287598	-39.19035339355469
log-sigma-1-0-mm-3D	firstorder	Minimum	-123.35612487792969	-71.86273193359375	-83.58645629882812
log-sigma-1-0-mm-3D	firstorder	Range	222.81758880615234	49.68230438232422	132.29703903198242
log-sigma-1-0-mm-3D	firstorder	RobustMeanAbsoluteDeviation	13.416272024095186	15.63602876663208	15.546919764280318
log-sigma-1-0-mm-3D	firstorder	RootMeanSquared	283.78344815522183	253.48650668970265	269.00847549392006
log-sigma-1-0-mm-3D	firstorder	Skewness	-0.4023017272295491	-0.01702729046472572	0.8073675947703007
log-sigma-1-0-mm-3D	firstorder	TotalEnergy	656022188.2101824	642554.0907374867	3618277.9943781495
log-sigma-1-0-mm-3D	firstorder	Uniformity	0.30946073828543635	0.42000000000000004	0.2488
log-sigma-1-0-mm-3D	firstorder	Variance	561.5277239782445	346.56093256583694	861.9509534903295
log-sigma-1-0-mm-3D	glcm	Autocorrelation	23.675270891773387	1.9575757575757577	8.44215620044539
log-sigma-1-0-mm-3D	glcm	JointAverage	4.814104476918077	1.424242424242424	2.8303305315183853
log-sigma-1-0-mm-3D	glcm	ClusterProminence	27.88891560036108	0.6194444444444444	41.33273290842231
log-sigma-1-0-mm-3D	glcm	ClusterShade	-1.9149455935796793	0.006734006734006925	5.192066860856444
log-sigma-1-0-mm-3D	glcm	ClusterTendency	2.80380987573514	0.45151515151515154	3.201794952189916
log-sigma-1-0-mm-3D	glcm	Contrast	0.8063832629941144	0.8787878787878788	1.5608028728325853
log-sigma-1-0-mm-3D	glcm	Correlation	0.5511223886338986	-0.31010101010100977	0.3197583198395245
log-sigma-1-0-mm-3D	glcm	DifferenceAverage	0.5773924316672358	0.6909090909090909	0.9782759243455156
log-sigma-1-0-mm-3D	glcm	DifferenceEntropy	1.3673816700605579	0.6478034633289211	1.4641265303768398
log-sigma-1-0-mm-3D	glcm	DifferenceVariance	0.46612022114539176	0.3157575757575758	0.5705106851791897
log-sigma-1-0-mm-3D	glcm	JointEnergy	0.13782039943655203	0.4271212121212121	0.10269750685965583
log-sigma-1-0-mm-3D	glcm	JointEntropy	3.5768318702935753	1.4160741451864383	3.602068694410723
log-sigma-1-0-mm-3D	glcm	Imc1	-0.15949053937325236	-0.4615525585961699	-0.2607309964826413
log-sigma-1-0-mm-3D	glcm	Imc2	0.6617482702582248	0.659113636451977	0.7911831505709013
log-sigma-1-0-mm-3D	glcm	Idm	0.7339452463457654	0.6733333333333333	0.5691147326759491
log-sigma-1-0-mm-3D	glcm	Idmn	0.9904449317777837	0.9207925407925408	0.960630255779823
log-sigma-1-0-mm-3D	glcm	Id	0.7455871743049649	0.6858585858585858	0.6019701145704522
log-sigma-1-0-mm-3D	glcm	Idn	0.9442675035444684	0.8366666666666667	0.8703638135543558
log-sigma-1-0-mm-3D	glcm	InverseVariance	0.4118854361715974	0.5265151515151515	0.525040242240881
log-sigma-1-0-mm-3D	glcm	MaximumProbability	0.3032986920175157	0.49090909090909085	0.18002291240907542
log-sigma-1-0-mm-3D	glcm	SumEntropy	2.7190789567907023	0.7221347512470447	2.451638700414275
log-sigma-1-0-mm-3D	glcm	SumSquares	0.9025482846823135	0.3325757575757576	1.1906494562556253
log-sigma-1-0-mm-3D	glrlm	GrayLevelNonUniformity	1089.471048914207	3.6497835497835496	10.523149040710509
log-sigma-1-0-mm-3D	glrlm	GrayLevelNonUniformityNormalized	0.25357056094441677	0.4088447399161685	0.2440020832320367
log-sigma-1-0-mm-3D	glrlm	GrayLevelVariance	1.236683296613587	0.45035392187177903	1.4714827739485874
log-sigma-1-0-mm-3D	glrlm	HighGrayLevelRunEmphasis	23.391536408440476	3.1967893217893217	12.184558383078691
log-sigma-1-0-mm-3D	glrlm	LongRunEmphasis	6.586326363029723	1.4047619047619047	1.5260075789459993
log-sigma-1-0-mm-3D	glrlm	LongRunHighGrayLevelEmphasis	158.86367502166644	3.820707070707071	16.717660422062504
log-sigma-1-0-mm-3D	glrlm	LongRunLowGrayLevelEmphasis	0.3116642137770717	0.9268779060445728	0.25309683751078116
log-sigma-1-0-mm-3D	glrlm	LowGrayLevelRunEmphasis	0.056953040805818575	0.5769049623216289	0.15956088506122418
log-sigma-1-0-mm-3D	glrlm	RunEntropy	3.9518998289510043	1.7261849045534683	2.741047502462536
log-sigma-1-0-mm-3D	glrlm	RunLengthNonUniformity	1779.9871787743566	7.243867243867244	32.577059564437796
