Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_49_segment_Lt Frontal	1: RTSTRUCT: ANON_49_segment_Left Ventricle	1: RTSTRUCT: ANON_49_segment_Rt Post Parietal	1: RTSTRUCT: ANON_49_segment_Rt Post Parietal 2	1: RTSTRUCT: ANON_49_segment_Lt inf Frontal	1: RTSTRUCT: ANON_49_segment_Lt Hippocampal	1: RTSTRUCT: ANON_49_segment_Rt Sup Cerebellar	1: RTSTRUCT: ANON_49_segment_Lt lat Frontal
log-sigma-4-0-mm-3D	glszm	LargeAreaHighGrayLevelEmphasis	7033651.823529412	249605.75	2500.0	50619.25	14400.0	1285677.5	2382.5	36.0
log-sigma-4-0-mm-3D	glszm	LargeAreaLowGrayLevelEmphasis	88931.94707516339	27255.368055555555	2500.0	2514.953125	14400.0	94396.00694444444	2380.625	36.0
log-sigma-4-0-mm-3D	glszm	LowGrayLevelZoneEmphasis	0.11433006535947712	0.3680555555555556	1.0	0.3559027777777778	1.0	0.3680555555555556	0.625	1.0
log-sigma-4-0-mm-3D	glszm	SizeZoneNonUniformity	1.7058823529411764	1.5	1.0	1.0	1.0	1.0	1.0	1.0
log-sigma-4-0-mm-3D	glszm	SizeZoneNonUniformityNormalized	0.10034602076124567	0.375	1.0	0.25	1.0	0.25	0.5	1.0
log-sigma-4-0-mm-3D	glszm	SmallAreaEmphasis	0.21738776586864655	0.5000060813483449	0.0004	0.028447880409594107	6.944444444444444e-05	0.016740472872790436	0.5001050199537912	0.027777777777777776
log-sigma-4-0-mm-3D	glszm	SmallAreaHighGrayLevelEmphasis	5.434478193374143	4.500009243650331	0.0004	0.44544037470955455	6.944444444444444e-05	0.15062995225288142	2.000105019953791	0.027777777777777776
log-sigma-4-0-mm-3D	glszm	SmallAreaLowGrayLevelEmphasis	0.008704123403500142	0.05556084632840359	0.0004	0.002367094554125059	6.944444444444444e-05	0.0018637820401133747	0.12510501995379122	0.027777777777777776
log-sigma-4-0-mm-3D	glszm	ZoneEntropy	3.4548223999466017	1.4999999999999991	-3.203426503814917e-16	1.9999999999999987	-3.203426503814917e-16	1.9999999999999987	0.9999999999999993	-3.203426503814917e-16
log-sigma-4-0-mm-3D	glszm	ZonePercentage	0.0027960526315789474	0.0056179775280898875	0.02	0.013651877133105802	0.008333333333333333	0.002875629043853343	0.02857142857142857	0.16666666666666666
log-sigma-4-0-mm-3D	glszm	ZoneVariance	569795.5224913496	40041.0	0.0	5307.1875	0.0	211668.6875	1156.0	0.0
log-sigma-4-0-mm-3D	gldm	DependenceEntropy	5.6304869085978915	4.765199563810882	3.9300445003404993	5.222448746013492	4.207991152163901	4.547533826587044	3.9200658324579014	0.9182958340544889
log-sigma-4-0-mm-3D	gldm	DependenceNonUniformity	367.78355263157897	47.03089887640449	3.76	16.563139931740615	7.1	154.58878504672896	5.285714285714286	3.3333333333333335
log-sigma-4-0-mm-3D	gldm	DependenceNonUniformityNormalized	0.0604907158933518	0.0660546332533771	0.0752	0.05652948782164032	0.059166666666666666	0.11113500003359379	0.07551020408163266	0.5555555555555556
log-sigma-4-0-mm-3D	gldm	DependenceVariance	26.166977146814407	20.782721562933975	23.8544	27.925566983890317	30.343333333333334	34.31769602368311	25.82775510204082	0.2222222222222222
log-sigma-4-0-mm-3D	gldm	GrayLevelNonUniformity	1952.0559210526317	402.9522471910112	50.0	145.70307167235495	120.0	956.5168943206327	68.02857142857142	6.0
log-sigma-4-0-mm-3D	gldm	GrayLevelVariance	0.7016975144996538	0.2196672610781467	0.0	0.33337604398420484	0.0	0.16339402784977475	0.014081632653061223	0.0
log-sigma-4-0-mm-3D	gldm	HighGrayLevelEmphasis	10.03733552631579	3.074438202247191	1.0	5.300341296928328	1.0	3.5398993529834653	1.042857142857143	1.0
log-sigma-4-0-mm-3D	gldm	LargeDependenceEmphasis	363.1792763157895	318.9269662921348	244.08	264.1194539249147	343.6333333333333	472.54421279654923	276.37142857142857	32.333333333333336
log-sigma-4-0-mm-3D	gldm	LargeDependenceHighGrayLevelEmphasis	3155.3751644736844	889.1558988764045	244.08	1272.9931740614334	343.6333333333333	1671.3774263120058	276.4142857142857	32.333333333333336
log-sigma-4-0-mm-3D	gldm	LargeDependenceLowGrayLevelEmphasis	58.46667155519006	176.37285424469414	244.08	66.37710940462647	343.6333333333333	173.27444284687274	276.36071428571427	32.333333333333336
log-sigma-4-0-mm-3D	gldm	LowGrayLevelEmphasis	0.14362120796783626	0.48451154806491886	1.0	0.26087883959044367	1.0	0.3802020928189152	0.9892857142857143	1.0
log-sigma-4-0-mm-3D	gldm	SmallDependenceEmphasis	0.005665431444463742	0.006895033576365103	0.006377801417490845	0.007466605611584121	0.004451393449487985	0.003971989676602876	0.019226335216233344	0.03185185185185185
log-sigma-4-0-mm-3D	gldm	SmallDependenceHighGrayLevelEmphasis	0.08872013949423604	0.03849285379808113	0.006377801417490845	0.05587627706263668	0.004451393449487985	0.017262933535651042	0.06208347807337622	0.03185185185185185
log-sigma-4-0-mm-3D	gldm	SmallDependenceLowGrayLevelEmphasis	0.0005643738867222553	0.002116677147652699	0.006377801417490845	0.0017344126928448762	0.004451393449487985	0.0013440524929769545	0.008512049501947632	0.03185185185185185
log-sigma-4-0-mm-3D	ngtdm	Busyness	30.19928657146968	13.324443629571425	0.0	3.0381700399210967	0.0	8.86171205328064	0.2579545471856362	0.0
log-sigma-4-0-mm-3D	ngtdm	Coarseness	0.002307551570296398	0.013800523506479477	1000000.0	0.03650251014435594	1000000.0	0.017861562496836233	2.025116693622608	1000000.0
log-sigma-4-0-mm-3D	ngtdm	Complexity	2.2615121103680083	0.7698545818817225	0.0	1.468590439391049	0.0	0.2819104844818198	0.014108534417500103	0.0
log-sigma-4-0-mm-3D	ngtdm	Contrast	0.016024419784459697	0.014601531774291222	0.0	0.01298574566586246	0.0	0.004514320417688325	0.0002990259747022602	0.0
log-sigma-4-0-mm-3D	ngtdm	Strength	0.019480241833169324	0.041526765884601455	0.0	0.19357988439994417	0.0	0.04457104603934867	1.3454762982267237	0.0
log-sigma-5-0-mm-3D	firstorder	10Percentile	-73.71545867919922	-24.163212966918945	-10.531414413452149	-39.33970336914062	-13.1330078125	-25.405887603759766	-7.105127429962158	-7.710180759429932
log-sigma-5-0-mm-3D	firstorder	90Percentile	-15.314408302307118	-8.269644451141357	-6.60215425491333	-9.989870834350583	-9.955062866210938	-5.185114860534668	-2.2019014596939086	-6.164641380310059
log-sigma-5-0-mm-3D	firstorder	Energy	403739668.42132753	57049953.35366693	4240214.567569192	22031949.32185922	9979467.257603612	113086252.98611718	6103815.680480508	515239.4321082658
log-sigma-5-0-mm-3D	firstorder	Entropy	1.8956139523323021	0.38377660043129336	-3.203426503814917e-16	0.9844074939799516	-3.203426503814917e-16	0.6145362195337409	-3.203426503814917e-16	-3.203426503814917e-16
log-sigma-5-0-mm-3D	firstorder	InterquartileRange	33.953136920928955	7.073323488235474	1.6255085468292236	17.02412223815918	1.691438913345337	11.372107028961182	2.933011293411255	0.9194536209106445
log-sigma-5-0-mm-3D	firstorder	Kurtosis	2.206797986139845	3.1606609630353244	4.978311909155152	2.237616676300495	3.221958264838747	2.232986102014863	2.3456369290444985	1.7909895851869784
log-sigma-5-0-mm-3D	firstorder	Maximum	7.942348003387451	0.2864649295806885	-3.2790703773498535	-0.2960844039916992	-7.814008712768555	1.953235149383545	-0.6034237146377563	-5.908827781677246
log-sigma-5-0-mm-3D	firstorder	MeanAbsoluteDeviation	18.264056006260162	4.552612228413345	1.2024974205017092	9.220819789482473	1.025455096960068	6.2372968553095856	1.6190850649561201	0.627413829167684
log-sigma-5-0-mm-3D	firstorder	Mean	-43.233271130890046	-16.99514946425229	-8.792690296173095	-26.000680761125714	-11.624170227845509	-14.969214461652776	-4.7144663963999065	-6.95946987469991
log-sigma-5-0-mm-3D	firstorder	Median	-42.14262390136719	-17.56780433654785	-9.064569473266602	-28.149799346923828	-11.916623592376709	-14.707571029663086	-4.61832857131958	-7.003587484359741
log-sigma-5-0-mm-3D	firstorder	Minimum	-94.78775024414062	-27.969562530517578	-10.771785736083984	-42.1470947265625	-13.587291717529297	-31.53730010986328	-9.156425476074219	-7.998436450958252
log-sigma-5-0-mm-3D	firstorder	Range	102.73009824752808	28.256027460098267	7.492715358734131	41.8510103225708	5.773283004760742	33.490535259246826	8.553001761436462	2.089608669281006
log-sigma-5-0-mm-3D	firstorder	RobustMeanAbsoluteDeviation	13.759997904673797	3.025423980077281	0.7626278442144395	7.032053018051484	0.7364496955027183	4.661333040016766	1.1885737478733063	0.4187185764312744
log-sigma-5-0-mm-3D	firstorder	RootMeanSquared	257.69080450647056	283.0659622417879	291.2117637585814	274.21591180347093	288.3786177002323	285.1289679896737	295.29200270919506	293.0413600239921
log-sigma-5-0-mm-3D	firstorder	Skewness	-0.1746062062229348	0.6606861693464628	1.3838434914691073	0.4930200846585327	0.7683625644293902	-0.09354218064400777	-0.08967379424548289	0.032307868343614154
log-sigma-5-0-mm-3D	firstorder	TotalEnergy	403739668.42132753	57049953.35366693	4240214.567569192	22031949.32185922	9979467.257603612	113086252.98611718	6103815.680480508	515239.4321082658
log-sigma-5-0-mm-3D	firstorder	Uniformity	0.29177891274238227	0.8690348440853428	1.0	0.5107689081992801	1.0	0.7736966769532597	1.0	1.0
log-sigma-5-0-mm-3D	firstorder	Variance	475.3976730490092	34.59355310838512	2.5941264432687055	118.73934284239897	1.6079499181293349	55.97968224907211	3.8205084444194544	0.4863885940539617
log-sigma-5-0-mm-3D	glcm	Autocorrelation	7.769044676991985	3.713319137951188	1.0	2.109011393706861	1.0	3.6042784208916383	1.0	1.0
log-sigma-5-0-mm-3D	glcm	JointAverage	2.662362387306729	1.9172752005477007	1.0	1.3956504800538343	1.0	1.8770180713570985	1.0	1.0
log-sigma-5-0-mm-3D	glcm	ClusterProminence	20.499902197974755	0.5464193069293646	0.0	0.8846978369475913	0.0	0.9998960584501143	0.0	0.0
log-sigma-5-0-mm-3D	glcm	ClusterShade	-0.687992318965864	-0.31093425665340924	0.0	0.30080887562344594	0.0	-0.4796184164110017	0.0	0.0
log-sigma-5-0-mm-3D	glcm	ClusterTendency	2.983248698033058	0.2323950337692922	0.0	0.8001138357618169	0.0	0.40968863191342425	0.0	0.0
log-sigma-5-0-mm-3D	glcm	Contrast	0.2616578082536215	0.08295354639400233	0.0	0.15588009290928365	0.0	0.08544787642443108	0.0	0.0
log-sigma-5-0-mm-3D	glcm	Correlation	0.8384100610981193	0.4778664959035432	1.0	0.6737767687813185	1.0	0.6550593668528024	1.0	1.0
log-sigma-5-0-mm-3D	glcm	DifferenceAverage	0.2616578082536215	0.08295354639400233	0.0	0.15588009290928365	0.0	0.08544787642443108	0.0	0.0
